
Series anuales. Hechos esclarecidos
Hechos esclarecidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos esclarecidos

,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
TOTAL NACIONAL,
    1.4.-Otros contra las personas,81.0,93.0,85.0,89.0,72.0,52.0,40.0,633.0,1351.0,1146.0,1191.0,1381.0,1328.0,
    2.2.-Otros contra la libertad,1215.0,1237.0,1018.0,1063.0,1077.0,1032.0,940.0,617.0,198.0,186.0,193.0,184.0,149.0,
    3.3.-Corrupción de menores o incapacitados,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,
    3.4.-Pornografía de menores,7.0,5.0,4.0,7.0,8.0,4.0,7.0,8.0,5.0,3.0,3.0,4.0,9.0,
    3.5.-Otros contra la libertad sexual,15.0,12.0,11.0,13.0,11.0,9.0,12.0,5.0,6.0,7.0,3.0,8.0,16.0,
    5. PATRIMONIO,3714.0,3310.0,2779.0,3160.0,2938.0,3014.0,2994.0,2943.0,3144.0,3459.0,3149.0,2960.0,3029.0,
    5.1.-Hurtos,1438.0,1190.0,1012.0,1239.0,1191.0,1224.0,1221.0,1238.0,1382.0,1565.0,1373.0,1212.0,1173.0,
    5.2.-Robos con fuerza en las cosas,391.0,423.0,443.0,510.0,461.0,536.0,579.0,513.0,622.0,651.0,546.0,529.0,580.0,
    5.3.-Robos con violencia o intimidación,121.0,110.0,119.0,99.0,73.0,80.0,75.0,93.0,128.0,167.0,174.0,146.0,179.0,
    5.4.-Sustracción de vehículos,37.0,63.0,46.0,53.0,53.0,72.0,72.0,70.0,68.0,78.0,91.0,84.0,84.0,
    5.5.-Estafas,958.0,756.0,536.0,535.0,425.0,443.0,436.0,384.0,377.0,382.0,339.0,348.0,297.0,
    5.5.1.-Estafas informáticas,540.0,475.0,312.0,230.0,178.0,191.0,177.0,153.0,141.0,110.0,96.0,75.0,69.0,
    5.6.-Daños,504.0,495.0,416.0,438.0,425.0,444.0,442.0,406.0,366.0,407.0,429.0,493.0,544.0,
    5.8.-Blanqueo de capitales,2.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,14.0,
    5.9.-Otros contra el patrimonio,241.0,249.0,196.0,276.0,291.0,209.0,157.0,226.0,178.0,183.0,172.0,130.0,128.0,
    6.1.-Tráfico de drogas,81.0,91.0,93.0,85.0,88.0,61.0,90.0,106.0,105.0,92.0,98.0,99.0,101.0,
