Comunidades y Ciudades Autónomas;Sexo;Grupos de edad;Periodo;Total
12 Galicia;Hombres;De 55 a 59 años;2010;58,84
12 Galicia;Hombres;De 60 a 64 años;2010;62
12 Galicia;Hombres;De 65 a 69 años;2010;51,16
12 Galicia;Hombres;De 70 a 74 años;2010;47,71
12 Galicia;Hombres;75 y más años;2010;45,23
12 Galicia;Mujeres;De 10 a 14 años;2010;125,78
12 Galicia;Mujeres;De 15 a 19 años;2010;146,98
12 Galicia;Mujeres;De 20 a 24 años;2010;156,6
12 Galicia;Mujeres;De 25 a 29 años;2010;101,28
12 Galicia;Mujeres;De 30 a 34 años;2010;60,57
12 Galicia;Mujeres;De 35 a 39 años;2010;59,53
12 Galicia;Mujeres;De 40 a 44 años;2010;60,65
12 Galicia;Mujeres;De 45 a 49 años;2010;64,99
12 Galicia;Mujeres;De 50 a 54 años;2010;58,63
12 Galicia;Mujeres;De 55 a 59 años;2010;77,52
12 Galicia;Mujeres;De 60 a 64 años;2010;72,85
12 Galicia;Mujeres;De 65 a 69 años;2010;88,06
12 Galicia;Mujeres;De 70 a 74 años;2010;43,81
12 Galicia;Mujeres;75 y más años;2010;64,66
13 Madrid, Comunidad de;Hombres;De 10 a 14 años;2010;53,38
13 Madrid, Comunidad de;Hombres;De 15 a 19 años;2010;75,4
13 Madrid, Comunidad de;Hombres;De 20 a 24 años;2010;88,27
13 Madrid, Comunidad de;Hombres;De 25 a 29 años;2010;64,58
13 Madrid, Comunidad de;Hombres;De 30 a 34 años;2010;42,59
13 Madrid, Comunidad de;Hombres;De 35 a 39 años;2010;33,11
13 Madrid, Comunidad de;Hombres;De 40 a 44 años;2010;30,98
13 Madrid, Comunidad de;Hombres;De 45 a 49 años;2010;28,51
13 Madrid, Comunidad de;Hombres;De 50 a 54 años;2010;30,07
13 Madrid, Comunidad de;Hombres;De 55 a 59 años;2010;36,85
13 Madrid, Comunidad de;Hombres;De 60 a 64 años;2010;51,9
13 Madrid, Comunidad de;Hombres;De 65 a 69 años;2010;69,36
13 Madrid, Comunidad de;Hombres;De 70 a 74 años;2010;65,9
13 Madrid, Comunidad de;Hombres;75 y más años;2010;50,96
13 Madrid, Comunidad de;Mujeres;De 10 a 14 años;2010;54,73
13 Madrid, Comunidad de;Mujeres;De 15 a 19 años;2010;93,72
13 Madrid, Comunidad de;Mujeres;De 20 a 24 años;2010;114,86
13 Madrid, Comunidad de;Mujeres;De 25 a 29 años;2010;71,36
13 Madrid, Comunidad de;Mujeres;De 30 a 34 años;2010;45,54
13 Madrid, Comunidad de;Mujeres;De 35 a 39 años;2010;38,8
13 Madrid, Comunidad de;Mujeres;De 40 a 44 años;2010;38,1
13 Madrid, Comunidad de;Mujeres;De 45 a 49 años;2010;40,3
13 Madrid, Comunidad de;Mujeres;De 50 a 54 años;2010;45,63
13 Madrid, Comunidad de;Mujeres;De 55 a 59 años;2010;51,8
13 Madrid, Comunidad de;Mujeres;De 60 a 64 años;2010;67,32
13 Madrid, Comunidad de;Mujeres;De 65 a 69 años;2010;74,14
13 Madrid, Comunidad de;Mujeres;De 70 a 74 años;2010;78,6
13 Madrid, Comunidad de;Mujeres;75 y más años;2010;50,27
